Age,Photos,# of Tags,Albums,Gender ,Emp,Profile,Cover,Orientation,Relationship,Posts,Replies,Children,Likes,Edu,Events,Friends
57,7,27,5,1,1,1,0,1,1,1,0,3,21,0,0,68
42,531,241,19,0,0,0,0,1,1,5,1,3,9,0,1,234
42,1396,423,40,0,1,1,0,1,1,186,31,2,43,1,1,727
55,394,139,48,0,1,1,1,1,1,6,4,2,187,0,4,437
30,916,231,78,1,1,1,1,1,1,412,752,1,34,0,2,372
25,241,345,6,1,1,1,1,1,0,543,654,0,48,0,5,552
28,138,206,15,1,1,0,1,1,0,254,163,0,151,0,1,248
32,167,581,10,1,1,1,0,1,0,236,195,0,64,0,3,875
29,922,1702,23,0,1,1,1,1,1,8,9,1,9,0,2,636
25,231,209,8,0,1,1,1,1,0,11,4,1,29,0,27,440
20,365,342,30,1,0,1,1,1,1,519,448,0,305,0,3,319
25,111,8,2,0,1,1,1,1,0,21,27,0,21,0,3,698
25,499,4,0,0,1,1,1,1,1,16,19,0,49,0,11,1689
24,402,504,13,1,1,1,0,1,1,421,321,0,113,0,5,519
21,992,990,4,1,1,1,1,1,0,19,1,0,15,0,7,789
23,710,745,80,1,1,1,0,1,0,678,564,0,91,0,7,564
23,385,309,32,0,0,1,0,1,1,654,546,0,146,0,5,741
30,538,453,7,0,1,1,1,1,1,356,267,0,46,0,3,446
23,635,399,8,0,0,1,0,1,1,746,553,0,99,0,4,919
24,241,78,4,1,1,1,0,1,1,794,679,0,112,0,2,468
24,795,364,7,0,1,1,1,1,1,365,252,0,39,0,1,647
21,450,0,11,0,1,1,0,1,0,15,3,0,385,0,2,612
27,41,12,1,1,1,1,0,1,1,195,169,0,35,0,4,288
32,185,105,16,1,1,1,1,1,0,8,3,0,27,0,0,158
30,495,813,21,0,1,1,1,1,1,12,13,0,138,0,2,637
29,156,268,7,1,1,1,0,1,1,4,2,0,15,0,1,670
18,2104,1422,74,0,0,1,1,1,0,16,10,0,75,0,7,1009
23,585,289,45,0,1,1,0,1,1,7,2,0,103,0,3,336
29,672,124,18,1,1,1,0,1,1,5,2,0,28,0,1,254
24,638,646,20,1,1,1,1,1,0,453,255,0,266,0,3,781
26,393,564,40,0,1,1,0,1,0,346,322,0,292,0,4,477
27,137,197,6,1,1,0,0,1,1,5,4,0,4,0,2,134
21,508,44,31,0,1,1,1,1,1,10,3,1,17,0,18,304
28,156,88,7,1,1,1,1,1,1,11,2,0,38,0,0,44
31,362,108,11,1,1,1,0,1,1,10,5,0,50,1,5,562
23,844,611,33,0,1,1,1,1,1,8,6,0,47,0,24,752
24,4688,1946,78,0,1,1,1,1,1,11,2,0,97,0,9,1354
19,536,519,16,1,1,1,1,1,1,44,75,0,112,0,4,550
32,1603,1481,37,0,1,1,0,1,0,23,60,0,141,0,4,1822
27,914,179,30,0,1,0,1,1,1,11,6,0,191,0,1,650
23,16,148,7,1,1,1,0,1,0,13,8,0,10,0,11,246
